id,date,d1,d2,d3,year,month,day,weekday,dsum
2002001,2002-01-01,0,7,3,2002,1,1,2,73
2002002,2002-01-02,2,3,7,2002,1,2,3,237
2002003,2002-01-03,0,7,1,2002,1,3,4,71
2002004,2002-01-04,2,0,4,2002,1,4,5,204
2002005,2002-01-05,3,7,4,2002,1,5,6,374
2002006,2002-01-06,1,2,8,2002,1,6,7,128
2002007,2002-01-07,8,4,9,2002,1,7,1,849
2002008,2002-01-08,8,5,2,2002,1,8,2,852
2002009,2002-01-09,1,5,5,2002,1,9,3,155
2002010,2002-01-10,7,9,5,2002,1,10,4,795
2002011,2002-01-11,2,1,7,2002,1,11,5,217
2002012,2002-01-12,4,8,2,2002,1,12,6,482
2002013,2002-01-13,9,8,6,2002,1,13,7,986
2002014,2002-01-14,2,3,2,2002,1,14,1,232
2002015,2002-01-15,8,7,1,2002,1,15,2,871
2002016,2002-01-16,1,7,1,2002,1,16,3,171
2002017,2002-01-17,1,0,2,2002,1,17,4,102
2002018,2002-01-18,1,7,8,2002,1,18,5,178
2002019,2002-01-19,4,4,6,2002,1,19,6,446
2002020,2002-01-20,7,3,7,2002,1,20,7,737
2002021,2002-01-21,8,5,9,2002,1,21,1,859
2002022,2002-01-22,9,4,7,2002,1,22,2,947
2002023,2002-01-23,6,8,1,2002,1,23,3,681
2002024,2002-01-24,1,9,7,2002,1,24,4,197
2002025,2002-01-25,5,1,3,2002,1,25,5,513
2002026,2002-01-26,7,8,0,2002,1,26,6,780
2002027,2002-01-27,2,4,8,2002,1,27,7,248
2002028,2002-01-28,8,1,0,2002,1,28,1,810
2002029,2002-01-29,9,5,3,2002,1,29,2,953
2002030,2002-01-30,5,2,5,2002,1,30,3,525
2002031,2002-01-31,5,1,1,2002,1,31,4,511
2002032,2002-02-01,1,3,3,2002,2,1,5,133
2002033,2002-02-02,9,6,4,2002,2,2,6,964
2002034,2002-02-03,7,3,4,2002,2,3,7,734
2002035,2002-02-04,9,1,2,2002,2,4,1,912
2002036,2002-02-05,3,3,4,2002,2,5,2,334
2002037,2002-02-06,7,0,6,2002,2,6,3,706
2002038,2002-02-07,5,1,6,2002,2,7,4,516
2002039,2002-02-08,6,2,2,2002,2,8,5,622
2002040,2002-02-09,3,0,5,2002,2,9,6,305
2002041,2002-02-10,4,3,6,2002,2,10,7,436
2002042,2002-02-11,1,1,6,2002,2,11,1,116
2002043,2002-02-19,1,9,0,2002,2,19,2,190
2002044,2002-02-20,0,8,2,2002,2,20,3,82
2002045,2002-02-21,0,9,8,2002,2,21,4,98
2002046,2002-02-22,6,4,6,2002,2,22,5,646
2002047,2002-02-23,1,1,8,2002,2,23,6,118
2002048,2002-02-24,4,0,9,2002,2,24,7,409
2002049,2002-02-25,8,3,0,2002,2,25,1,830
2002050,2002-02-26,3,5,2,2002,2,26,2,352
2002051,2002-02-27,4,7,6,2002,2,27,3,476
2002052,2002-02-28,5,6,5,2002,2,28,4,565
2002053,2002-03-01,3,5,2,2002,3,1,5,352
2002054,2002-03-02,4,5,7,2002,3,2,6,457
2002055,2002-03-03,0,3,7,2002,3,3,7,37
2002056,2002-03-04,7,3,3,2002,3,4,1,733
2002057,2002-03-05,7,6,3,2002,3,5,2,763
2002058,2002-03-06,8,0,0,2002,3,6,3,800
2002059,2002-03-07,8,1,8,2002,3,7,4,818
2002060,2002-03-08,6,9,2,2002,3,8,5,692
2002061,2002-03-09,8,7,8,2002,3,9,6,878
