id,date,fore1,fore2,fore3,fore4,fore5,back1,back2,input_all,net_all,No1,No1_M,No2,No2_M,No3,No3_M,No4,No4_M,No5,No5_M,No6,No6_M,No7,No7_M,No8,No8_M,Append0,Append0_M,Append1,Append1_M,Append2,Append3,Append4,Append5,Append6
07001,2007-05-30,22,24,29,31,35,4,11,17086781,89168335,2,5000000,8,136558,9,24466,50,3000,682,500,2847,200,39943,10,443014,5,1,3000000,1,81934,1,14679,1049664,11075,60
07002,2007-06-02,15,22,31,34,35,5,12,16832903,84592975,1,5000000,3,339746,2,122308,31,3000,662,500,2455,200,35975,10,416206,5,1,3000000,1,203847,0,0,944532,10028,60
07003,2007-06-04,3,4,18,23,32,1,6,15795691,78904528,1,5000000,2,317521,17,8255,63,3000,925,500,4144,200,49036,10,493402,5,1,3000000,1,190512,5,4953,969666,17751,60
07004,2007-06-06,6,10,16,17,25,2,4,17651663,80930948,0,0,23,26607,39,3132,38,3000,2241,500,5999,200,62109,10,539808,5,0,0,7,15964,12,1879,1157714,6123,60
07005,2007-06-09,1,9,19,20,30,2,11,21611411,84210190,0,0,15,72293,95,3000,57,3000,1726,500,8808,200,49040,10,523792,5,0,0,2,43375,24,1800,1226976,4204,60
07006,2007-06-11,1,16,20,23,28,3,6,18675368,80083542,1,5000000,3,461113,13,20343,42,3000,814,500,2574,200,37244,10,439466,5,1,3000000,0,0,1,12205,1063592,7809,60
07007,2007-06-13,14,16,25,26,35,4,9,19473159,82645026,0,0,6,152469,4,35185,94,3000,993,500,4735,200,71918,10,687581,5,0,0,0,0,2,21111,1118682,25477,60
07008,2007-06-16,2,8,11,21,23,4,7,23423679,85596585,0,0,8,131766,24,7638,94,3000,2581,500,6323,200,83124,10,719750,5,0,0,0,0,6,4258,1520098,7468,60
07009,2007-06-18,1,3,9,19,34,9,12,20385607,89975065,0,0,7,190700,9,27434,39,3000,861,500,3346,200,39342,10,424771,5,0,0,2,114420,4,16460,1380656,4486,60
07010,2007-06-20,6,8,18,29,34,9,11,20524711,94230077,0,0,4,292239,13,18309,43,3000,981,500,3560,200,42145,10,445114,5,0,0,2,175343,6,10985,1311512,6634,60
07011,2007-06-23,29,32,33,34,35,9,10,23587919,99674870,0,0,3,648189,11,27779,48,3000,750,500,2863,200,37665,10,462311,5,0,0,0,0,5,16667,1250874,8182,60
07012,2007-06-25,3,12,15,29,34,7,11,19740389,98897389,1,5000000,7,183907,8,32783,38,3000,760,500,3015,200,37969,10,432786,5,0,0,2,110344,2,19669,1136596,7882,60
07013,2007-06-27,12,17,27,29,34,6,9,19897386,102960707,0,0,12,83401,18,12093,38,3000,915,500,3236,200,41931,10,461394,5,0,0,9,50040,10,7255,1221878,7387,60
07014,2007-06-30,1,2,7,29,32,6,7,28218110,105236279,0,0,6,816872,15,22985,39,3000,942,500,3913,200,50273,10,570251,5,0,0,3,490123,8,13791,1229716,5744,60
07015,2007-07-02,2,8,12,13,17,11,12,22817212,100236279,1,6713983,8,521647,19,16018,66,3000,1015,500,3958,200,44714,10,476052,5,0,0,2,312988,4,9610,1066114,2336,60
07016,2007-07-04,1,14,19,24,31,3,12,23123073,101964762,0,0,6,672187,16,16620,47,3000,1063,500,3824,200,45459,10,504897,5,0,0,2,403312,8,9972,968176,2668,60
07017,2007-07-07,13,14,29,32,34,3,12,25998850,96964762,1,7167809,4,1319535,15,24086,36,3000,1095,500,3836,200,41422,10,446256,5,0,0,1,791721,5,14451,955618,889,60
